sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-AD-6548-01	TCGA-AD-6548-01	10.74	12.45	10.48	11.71	11.21	11.24	11.79	Primary Tumor
TCGA-F4-6461-01	TCGA-F4-6461-01	10.72	12.09	10.93	11.62	10.58	11.5	11.01	Primary Tumor
TCGA-D5-5537-01	TCGA-D5-5537-01	10.72	12.01	10.36	11.16	12.18	10.4	11.7	Primary Tumor
TCGA-AA-3655-01	TCGA-AA-3655-01	10.71	12.45	11.25	11.66	11.07	11.15	11.99	Primary Tumor
TCGA-AZ-6598-01	TCGA-AZ-6598-01	10.71	11.85	11.23	11.6	13.28	11.51	11.82	Primary Tumor
TCGA-A6-6141-01	TCGA-A6-6141-01	10.7	12.37	9.945	11.46	11.15	11.06	11.58	Primary Tumor
TCGA-A6-A5ZU-01	TCGA-A6-A5ZU-01	10.68	12.35	10.31	11.64	11.48	11.45	12.01	Primary Tumor
TCGA-CM-5349-01	TCGA-CM-5349-01	10.68	11.04	10.85	11.54	11.75	11.62	12.4	Primary Tumor
TCGA-F4-6857-01	TCGA-F4-6857-01	10.67	12.27	10.43	12.13	10.54	10.87	11.76	Primary Tumor
TCGA-CK-6751-01	TCGA-CK-6751-01	10.66	12.32	10.78	11.51	10.89	10.93	11.83	Primary Tumor
TCGA-CM-6169-01	TCGA-CM-6169-01	10.66	11.58	10.47	11.64	11.3	11.27	12.06	Primary Tumor
TCGA-D5-6926-01	TCGA-D5-6926-01	10.65	12.36	10.54	11.75	12.04	11.38	11.58	Primary Tumor
TCGA-NH-A8F8-01	TCGA-NH-A8F8-01	10.64	12.43	9.213	11.64	12.21	11.09	12.12	Primary Tumor
TCGA-G4-6311-01	TCGA-G4-6311-01	10.64	12.31	11.07	12.02	11.81	11.29	11.87	Primary Tumor
TCGA-AY-A69D-01	TCGA-AY-A69D-01	10.64	12	10.54	11.12	11.67	11.53	11.9	Primary Tumor
TCGA-CA-6717-01	TCGA-CA-6717-01	10.64	11.97	10.78	11.86	10.44	11.02	11.98	Primary Tumor
TCGA-CM-6163-01	TCGA-CM-6163-01	10.64	11.79	11.21	11.73	11.4	11.48	11.78	Primary Tumor
TCGA-CK-5916-01	TCGA-CK-5916-01	10.63	11.99	10.93	11.51	10.49	11.79	12.26	Primary Tumor
TCGA-G4-6298-01	TCGA-G4-6298-01	10.62	12.12	10.53	11.68	11.77	11.11	10.94	Primary Tumor
TCGA-D5-6536-01	TCGA-D5-6536-01	10.61	11.1	9.985	11.5	11.74	10.97	11.8	Primary Tumor
TCGA-CK-4951-01	TCGA-CK-4951-01	10.59	12.52	10.59	11.86	11.13	11.06	12.04	Primary Tumor
TCGA-A6-2684-01	TCGA-A6-2684-01	10.59	12.22	10.52	11.13	10.8	10.65	12.39	Primary Tumor
TCGA-G4-6299-01	TCGA-G4-6299-01	10.58	13.06	10.52	11.76	9.87	11.21	11.49	Primary Tumor
TCGA-AU-6004-01	TCGA-AU-6004-01	10.58	12.74	10.82	11.86	11.24	11.6	12.39	Primary Tumor
TCGA-AD-6899-01	TCGA-AD-6899-01	10.58	12.19	10.49	11.51	11.73	10.92	11.38	Primary Tumor
TCGA-G4-6627-01	TCGA-G4-6627-01	10.55	12.03	11.2	11.55	11.1	11.29	11.57	Primary Tumor
TCGA-F4-6463-01	TCGA-F4-6463-01	10.55	11.88	10.78	11.56	11.63	11.1	11.85	Primary Tumor
TCGA-AZ-6606-01	TCGA-AZ-6606-01	10.54	13.04	10.59	11.44	10.63	11.47	12.26	Primary Tumor
TCGA-A6-6652-01	TCGA-A6-6652-01	10.54	12.55	10.38	11.71	11.91	10.99	11.73	Primary Tumor
TCGA-CM-5348-01	TCGA-CM-5348-01	10.54	12.47	11.27	11.67	11.27	11.29	12.2	Primary Tumor
TCGA-CM-6680-01	TCGA-CM-6680-01	10.54	11.99	11.04	11.58	11.7	11.51	11.8	Primary Tumor
TCGA-AY-6386-01	TCGA-AY-6386-01	10.53	12.53	11.3	11.75	11.2	11.45	11.91	Primary Tumor
TCGA-CK-6747-01	TCGA-CK-6747-01	10.53	12.18	10.73	11.62	11.28	11.17	11.76	Primary Tumor
