sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-CC-5260-01	TCGA-CC-5260-01	9.206	12.13	11.72	11.92	11.35	11.06	11.63	Primary Tumor
TCGA-WJ-A86L-01	TCGA-WJ-A86L-01	9.194	11.91	11.51	11.85	9.184	10.42	10.61	Primary Tumor
TCGA-CC-A3MC-01	TCGA-CC-A3MC-01	9.18	12.01	10.52	11.48	10.23	10.42	11.43	Primary Tumor
TCGA-DD-A4ND-01	TCGA-DD-A4ND-01	9.175	14.15	10.51	10.95	9.959	10.19	11.4	Primary Tumor
TCGA-CC-A7IK-01	TCGA-CC-A7IK-01	9.174	11.84	10.97	11.71	9.883	10.31	11.95	Primary Tumor
TCGA-DD-AAD5-01	TCGA-DD-AAD5-01	9.17	11.3	10.22	12.06	12	10.4	11.78	Primary Tumor
TCGA-ED-A8O6-01	TCGA-ED-A8O6-01	9.165	11.92	10.6	11.62	11.53	11.02	11.3	Primary Tumor
TCGA-DD-AADL-01	TCGA-DD-AADL-01	9.15	11.84	11.99	11.67	7.843	10.68	11.03	Primary Tumor
TCGA-CC-A9FW-01	TCGA-CC-A9FW-01	9.125	11.87	11.11	11.93	11.9	10.06	10.45	Primary Tumor
TCGA-2Y-A9H6-01	TCGA-2Y-A9H6-01	9.121	12.14	10.45	11.57	9.996	9.09	10.49	Primary Tumor
TCGA-DD-AADD-01	TCGA-DD-AADD-01	9.121	11.52	10.77	11.57	11.28	10.08	11.4	Primary Tumor
TCGA-DD-A113-01	TCGA-DD-A113-01	9.121	11.39	11.39	11.91	10.26	10.57	11.03	Primary Tumor
TCGA-DD-AAD2-01	TCGA-DD-AAD2-01	9.116	11.7	10.61	11.34	8.664	9.728	11.18	Primary Tumor
TCGA-BC-A10T-01	TCGA-BC-A10T-01	9.112	11.32	11.66	11.54	7.658	9.595	10.95	Primary Tumor
TCGA-G3-A7M6-01	TCGA-G3-A7M6-01	9.071	11.82	10.36	11.82	10.74	10.45	11.27	Primary Tumor
TCGA-XR-A8TC-01	TCGA-XR-A8TC-01	9.07	11.49	11.53	11.24	10.09	11.16	10.17	Primary Tumor
TCGA-2Y-A9GS-01	TCGA-2Y-A9GS-01	9.061	12.13	11.26	11.57	9.379	10.2	11.33	Primary Tumor
TCGA-BC-A10Z-01	TCGA-BC-A10Z-01	9.06	11.48	11.69	12.2	8.796	10.56	11.35	Primary Tumor
TCGA-CC-A7IG-01	TCGA-CC-A7IG-01	9.051	11.82	9.847	12.29	9.761	10.4	10.69	Primary Tumor
TCGA-5C-A9VH-01	TCGA-5C-A9VH-01	9.045	12.15	11.36	11.22	9.561	10.29	10.31	Primary Tumor
TCGA-DD-AACA-01	TCGA-DD-AACA-01	9.042	12.23	11.63	11.96	8.541	10.55	11.15	Primary Tumor
TCGA-BC-A10W-01	TCGA-BC-A10W-01	9.039	11.68	11.01	11.49	11.63	11.23	12.69	Primary Tumor
TCGA-DD-AACH-01	TCGA-DD-AACH-01	9.036	12.59	10.85	11.64	10.8	10.6	11.4	Primary Tumor
TCGA-XR-A8TD-01	TCGA-XR-A8TD-01	9.018	11.45	10.8	12	9.595	9.969	11.31	Primary Tumor
TCGA-DD-A39Y-01	TCGA-DD-A39Y-01	9.007	12.68	10.52	11.85	10.54	10.41	12.08	Primary Tumor
TCGA-HP-A5MZ-01	TCGA-HP-A5MZ-01	9.001	11.67	10.71	11.3	9.958	9.995	11.17	Primary Tumor
TCGA-BD-A3EP-01	TCGA-BD-A3EP-01	8.997	12.1	10.98	11.87	10.08	10.6	11.34	Primary Tumor
TCGA-BC-A112-01	TCGA-BC-A112-01	8.996	11.61	10.88	11.93	10.85	11.59	12.2	Primary Tumor
TCGA-ED-A7PX-01	TCGA-ED-A7PX-01	8.995	13.51	10.62	11.52	11.07	10.32	11.15	Primary Tumor
TCGA-5R-AAAM-01	TCGA-5R-AAAM-01	8.993	11.49	11.01	11.53	8.618	9.78	10.76	Primary Tumor
TCGA-ZP-A9D1-01	TCGA-ZP-A9D1-01	8.992	11.62	11.31	10.7	8.136	9.953	10.9	Primary Tumor
TCGA-ZS-A9CF-02	TCGA-ZS-A9CF-02	8.992	11.51	10.76	12.16	6.895	10.09	10.72	Recurrent Tumor
TCGA-G3-A7M9-01	TCGA-G3-A7M9-01	8.977	12.06	10.26	11.7	10.56	10	11.8	Primary Tumor
TCGA-RG-A7D4-01	TCGA-RG-A7D4-01	8.962	11.13	10.49	12.04	10.02	10.93	11.26	Primary Tumor
TCGA-DD-A1EI-01	TCGA-DD-A1EI-01	8.952	11.88	11.58	11.91	9.738	10.71	10.89	Primary Tumor
TCGA-DD-A4NH-01	TCGA-DD-A4NH-01	8.942	11.97	11.19	12.74	9.992	11.09	10.96	Primary Tumor
TCGA-CC-A5UD-01	TCGA-CC-A5UD-01	8.94	12.33	10.55	11.87	11.5	9.823	11.22	Primary Tumor
TCGA-BW-A5NP-01	TCGA-BW-A5NP-01	8.94	11.36	11.23	11.29	10.03	11.27	10.54	Primary Tumor
TCGA-DD-AAW0-01	TCGA-DD-AAW0-01	8.939	11.58	11.24	11.15	9.523	9.73	11.04	Primary Tumor
TCGA-DD-AADV-01	TCGA-DD-AADV-01	8.924	11.97	11.99	11.62	8.201	10.21	10.94	Primary Tumor
TCGA-DD-A115-01	TCGA-DD-A115-01	8.89	12.05	11.18	12.14	6.999	9.72	10.89	Primary Tumor
