sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-BR-A4J5-01	TCGA-BR-A4J5-01	11.56	11.63	11.35	11.12	10.52	10.89	11.7	Primary Tumor
TCGA-BR-6564-01	TCGA-BR-6564-01	11.56	11.39	10.63	11.44	12.15	9.641	10.71	Primary Tumor
TCGA-B7-5816-01	TCGA-B7-5816-01	11.55	11.98	11.13	11.72	11.54	12.02	11.57	Primary Tumor
TCGA-BR-4363-01	TCGA-BR-4363-01	11.52	11.83	10.97	11.35	11.91	10.82	12.33	Primary Tumor
TCGA-BR-6456-01	TCGA-BR-6456-01	11.52	11.64	11.22	11.47	11.82	11.87	11.5	Primary Tumor
TCGA-HU-A4GU-01	TCGA-HU-A4GU-01	11.51	11.35	10.45	11.44	11.68	11.43	12.02	Primary Tumor
TCGA-BR-8364-01	TCGA-BR-8364-01	11.5	11.76	11.5	11.05	11.24	11.11	11.31	Primary Tumor
TCGA-CD-5813-01	TCGA-CD-5813-01	11.5	10.96	10.94	11.57	12.38	10.3	11.04	Primary Tumor
TCGA-IN-AB1V-01	TCGA-IN-AB1V-01	11.49	11.84	11.43	10.89	11.64	11.47	11.6	Primary Tumor
TCGA-VQ-A8PD-01	TCGA-VQ-A8PD-01	11.48	11.46	11.27	11.05	11.78	11.71	11.77	Primary Tumor
TCGA-FP-7998-01	TCGA-FP-7998-01	11.45	11.52	10.86	11.67	12.04	11.96	11.4	Primary Tumor
TCGA-EQ-8122-01	TCGA-EQ-8122-01	11.43	12.36	11.03	12.55	13.18	12.42	11.18	Primary Tumor
TCGA-BR-8059-01	TCGA-BR-8059-01	11.43	12.29	11.18	11.46	11.76	11.36	11.47	Primary Tumor
TCGA-CG-4476-01	TCGA-CG-4476-01	11.43	12.14	11.29	11.28	11.64	11.34	11.73	Primary Tumor
TCGA-VQ-A8E7-01	TCGA-VQ-A8E7-01	11.43	11.83	11.72	11.12	11.55	11.81	11.54	Primary Tumor
TCGA-MX-A663-01	TCGA-MX-A663-01	11.42	11.54	11.07	10.77	11.8	10.19	10.71	Primary Tumor
